Tutor Name, Hours a week
Tutor 404,6
Tutor 84,7
Tutor 336,7
Tutor 398,6.5
Tutor 417,7
Tutor 234,7.5
Tutor 156,7.5
Tutor 231,6.5
Tutor 129,7
Tutor 129,6
Tutor 259,7
Tutor 383,6
Tutor 379,7
Tutor 288,7
Tutor 131,6.5
Tutor 313,7
Tutor 136,7
Tutor 246,7.5
Tutor 402,7
Tutor 410,6.5
Tutor 370,6.5
Tutor 252,7
Tutor 67,7
Tutor 187,7
Tutor 169,7
Tutor 266,7
Tutor 257,7
Tutor 3,7.5
Tutor 290,7.5
Tutor 158,7.5
Tutor 382,7
Tutor 384,6.5
Tutor 396,7
Tutor 403,7.5
Tutor 411,6.5
Tutor 279,7.5
Tutor 371,7
Tutor 397,6.5
Tutor 59,7
Tutor 63,7
Tutor 179,7
Tutor 352,6.5
Tutor 372,6.5
Tutor 240,7
Tutor 190,7.5
Tutor 217,7.5
Tutor 400,7
Tutor 321,7.5
Tutor 273,7
Tutor 145,7
Tutor 207,7
Tutor 373,7
Tutor 23,6.5
Tutor 305,7
Tutor 237,7.5
Tutor 311,7
Tutor 193,7
Tutor 338,6
Tutor 93,6.5
Tutor 65,6.5
Tutor 106,6
Tutor 265,6.5
Tutor 126,7
Tutor 408,7.5
Tutor 415,7
Tutor 216,7.5
Tutor 102,7.5
Tutor 328,7
Tutor 150,7
Tutor 75,6.5
Tutor 392,7.5
Tutor 153,6.5
Tutor 219,7
Tutor 5,7
Tutor 226,7
Tutor 337,7
Tutor 206,7
Tutor 33,7
Tutor 171,7.5
Tutor 387,7
Tutor 183,7.5
Tutor 182,7
Tutor 189,6.5
Tutor 412,7
Tutor 317,7
Tutor 116,7
Tutor 40,7
Tutor 258,7.5
Tutor 236,7.5
Tutor 348,7
Tutor 271,7
Tutor 43,7
Tutor 355,7
Tutor 355,7
Tutor 385,6
Tutor 375,6.5
Tutor 26,7
Tutor 42,7
Tutor 395,7
Tutor 405,7
Tutor 56,6.5
Tutor 56,7
Tutor 57,7
Tutor 109,7
Tutor 401,7.5
Tutor 394,7.5
Tutor 393,7
Tutor 289,7
Tutor 374,7
